location,Total Cases,Total Death,Mortality Rate,Population,Population_Density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,female_smokers,male_smokers,January,February,March,April,May,June,July,August,September,October,November,December,Total_Smokers,
Central African Republic,4935,10787,2.1858,4829764,7.479,18.3,3.655,2.251,661.24,435.727,6.1,16.603,1,53.28,0.367,0,0,0,0,2,47,961,2734,863,103,118,37,47,23,0,
Chad,1799,18094,10.0578,16425859,11.833,16.7,2.486,1.446,1768.153,280.995,6.1,5.818,0,54.24,0.404,0,0,0,0,6,66,705,88,70,77,187,283,205,112,0,
Chile,576729,2160417,3.7460,19116209,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,0,2.11,80.18,0.843,197241,239343,0,0,2842,14858,105848,155843,76274,56059,51265,47265,41487,24988,436584,
China,94078,1343877,14.2847,1439323774,147.674,38.7,10.641,5.929,15308.712,261.899,9.74,0,4.34,76.91,0.752,1787,45534,9254,69554,2923,1677,190,639,2870,2259,631,821,1536,1724,47321,
Colombia,1456598,3963702,2.7212,50882884,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,65.386,1.71,77.29,0.747,68460,196641,0,0,905,5601,22876,68463,197662,319586,214585,244505,242622,139793,265101,
Comoros,632,1331,2.1060,869595,437.352,20.4,2.963,1.726,1413.89,261.516,11.88,15.574,2.2,64.32,0.503,28,149,0,0,0,0,105,197,75,45,56,66,66,22,177,
Congo,6199,14936,2.4094,5518092,15.405,19,3.402,2.063,4881.406,344.094,7.2,47.964,0,64.57,0.606,105,3242,0,0,18,201,391,476,2113,779,1110,201,484,426,3347,
Costa Rica,155262,143440,0.9239,5094114,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,83.841,1.13,80.28,0.794,9937,27016,0,0,346,372,337,2403,14361,23467,34473,34211,29667,15625,36952,
Cote d'Ivoire,21740,21798,1.0027,26378275,76.399,18.7,2.933,1.582,3601.006,303.74,2.42,19.351,0,57.78,0.492,0,0,0,0,178,1096,1558,6666,6548,2020,1657,992,615,410,0,
Croatia,183044,105040,0.5739,4105268,73.726,44,19.724,13.053,22669.797,253.782,5.59,0,5.54,78.49,0.831,62784,73035,0,5,861,1209,170,531,2362,5130,6324,32723,79126,54603,135819,
